Timestamp: 12/dez/2018 9:08:35
NumberOfPlayers: 3
PlayerFiveMindset: Random
PlayerFourMindset: Defensive
PlayerOneMindset: Smart
PlayerSixMindset: Random
PlayerThreeMindset: Smart
PlayerTwoMindset: Aggressive


run,tick,RngSeed,finalResut,diceChosen,attackingTerritoryPieces,defendingTerritoryPieces,territoryAmount
1,4177207.0,1544605714695,1,2,4,2,14
1,4177208.0,1544605714695,1,2,4,2,14
1,4177209.0,1544605714695,1,2,4,2,14
1,4177211.0,1544605714695,1,2,4,2,14
1,4177213.0,1544605714695,1,2,4,2,14
1,4177215.0,1544605714695,1,3,3,1,14
1,4177217.0,1544605714695,1,3,3,1,14
1,4177219.0,1544605714695,1,3,3,1,15
1,4177221.0,1544605714695,1,3,3,1,15
1,4177223.0,1544605714695,1,3,3,4,15
1,4177225.0,1544605714695,1,3,3,4,15
1,4177227.0,1544605714695,1,3,3,4,15
1,4177229.0,1544605714695,1,3,3,3,15
1,4177231.0,1544605714695,1,3,3,3,15
1,4177233.0,1544605714695,1,3,3,3,15
1,4177235.0,1544605714695,1,3,3,1,15
1,4177237.0,1544605714695,1,3,3,1,15
1,4177239.0,1544605714695,1,3,3,1,16
1,4177241.0,1544605714695,1,3,3,1,16
1,4177243.0,1544605714695,1,3,4,3,16
1,4177245.0,1544605714695,1,3,4,3,16
1,4177247.0,1544605714695,1,3,4,3,17
1,4177249.0,1544605714695,1,3,4,1,17
1,4177251.0,1544605714695,1,3,4,3,17
1,4177252.0,1544605714695,1,3,4,3,17
1,4177254.0,1544605714695,1,3,4,3,17
1,4177255.0,1544605714695,1,3,4,3,17
1,4177257.0,1544605714695,1,3,4,1,18
1,4177259.0,1544605714695,1,3,4,1,18
1,4177260.0,1544605714695,1,1,2,1,18
1,4177262.0,1544605714695,1,1,2,1,19
1,4177264.0,1544605714695,1,1,2,1,19
1,4177266.0,1544605714695,1,1,2,3,19
1,4177268.0,1544605714695,1,1,2,3,19
1,4177270.0,1544605714695,1,1,2,3,19
1,4177272.0,1544605714695,1,1,2,2,19
1,4177274.0,1544605714695,2,2,4,2,11
1,4177276.0,1544605714695,2,2,4,2,12
1,4177278.0,1544605714695,2,2,4,2,12
1,4177280.0,1544605714695,2,3,4,1,12
1,4177281.0,1544605714695,2,3,4,1,12
1,4177282.0,1544605714695,2,3,4,1,12
1,4177284.0,1544605714695,2,3,4,1,13
1,4177286.0,1544605714695,2,3,4,1,13
1,4177288.0,1544605714695,2,3,3,1,13
1,4177290.0,1544605714695,2,3,3,1,13
1,4177292.0,1544605714695,2,3,3,1,13
1,4177294.0,1544605714695,2,3,4,3,13
1,4177296.0,1544605714695,2,3,4,3,13
1,4177298.0,1544605714695,2,3,4,3,14
1,4177300.0,1544605714695,2,3,4,1,14
1,4177302.0,1544605714695,2,2,3,2,14
1,4177304.0,1544605714695,2,2,3,2,15
1,4177305.0,1544605714695,2,2,3,2,15
1,4177307.0,1544605714695,2,1,2,1,15
1,4177309.0,1544605714695,2,1,2,1,15
1,4177311.0,1544605714695,2,1,2,1,15
1,4177313.0,1544605714695,3,3,4,1,9
1,4177314.0,1544605714695,3,3,4,1,9
1,4177315.0,1544605714695,3,3,4,1,9
1,4177317.0,1544605714695,3,3,4,1,9
1,4177319.0,1544605714695,3,3,3,1,9
1,4177321.0,1544605714695,3,3,3,1,10
1,4177323.0,1544605714695,3,3,3,1,10
1,4177325.0,1544605714695,3,3,3,1,10
1,4177327.0,1544605714695,3,3,3,1,10
1,4177329.0,1544605714695,3,3,4,1,10
1,4177331.0,1544605714695,3,3,4,1,11
1,4177333.0,1544605714695,3,3,4,1,11
1,4177335.0,1544605714695,3,3,2,1,11
1,4177337.0,1544605714695,3,3,3,1,11
1,4177339.0,1544605714695,3,3,3,1,11
1,4177341.0,1544605714695,3,3,3,1,11
1,4177343.0,1544605714695,3,3,3,1,11
1,4177345.0,1544605714695,3,3,3,1,11
1,4177347.0,1544605714695,3,3,3,1,11
1,4177349.0,1544605714695,3,3,3,1,11
1,4177351.0,1544605714695,3,3,3,1,12
1,4177353.0,1544605714695,3,3,3,1,12
1,4177355.0,1544605714695,3,3,2,1,12
1,4177357.0,1544605714695,1,3,3,1,17
1,4177358.0,1544605714695,1,3,3,1,17
1,4177359.0,1544605714695,1,3,3,1,17
1,4177361.0,1544605714695,1,3,3,1,18
1,4177363.0,1544605714695,1,3,3,1,18
1,4177365.0,1544605714695,1,3,3,1,18
1,4177367.0,1544605714695,1,3,3,1,19
1,4177369.0,1544605714695,1,3,3,1,19
1,4177371.0,1544605714695,1,1,2,1,19
1,4177373.0,1544605714695,1,1,2,1,20
1,4177375.0,1544605714695,1,1,2,1,20
1,4177377.0,1544605714695,1,1,2,1,20
1,4177379.0,1544605714695,1,1,2,1,21
1,4177381.0,1544605714695,1,1,2,1,21
1,4177383.0,1544605714695,1,3,3,1,21
1,4177385.0,1544605714695,1,3,3,1,22
1,4177387.0,1544605714695,1,3,3,1,22
1,4177389.0,1544605714695,1,3,3,1,22
1,4177391.0,1544605714695,1,3,3,1,23
1,4177393.0,1544605714695,1,3,3,1,23
1,4177395.0,1544605714695,1,3,3,1,23
1,4177397.0,1544605714695,1,3,3,1,24
1,4177399.0,1544605714695,1,3,3,1,24
1,4177401.0,1544605714695,1,1,2,1,24
1,4177403.0,1544605714695,1,1,2,1,25
1,4177405.0,1544605714695,1,1,2,1,25
1,4177407.0,1544605714695,2,1,2,1,11
1,4177409.0,1544605714695,2,1,2,1,11
1,4177411.0,1544605714695,2,1,2,1,11
1,4177413.0,1544605714695,2,3,4,1,11
1,4177415.0,1544605714695,2,3,4,1,12
1,4177417.0,1544605714695,2,3,4,1,12
1,4177419.0,1544605714695,2,1,2,1,12
1,4177421.0,1544605714695,2,1,2,1,12
1,4177423.0,1544605714695,2,1,2,1,12
1,4177425.0,1544605714695,2,1,2,1,12
1,4177426.0,1544605714695,2,1,2,1,12
1,4177427.0,1544605714695,2,1,2,1,12
1,4177429.0,1544605714695,2,1,2,1,12
1,4177431.0,1544605714695,2,1,2,1,12
1,4177433.0,1544605714695,2,3,3,1,12
1,4177435.0,1544605714695,2,3,3,1,13
1,4177437.0,1544605714695,2,3,3,1,13
1,4177439.0,1544605714695,2,3,3,1,13
1,4177441.0,1544605714695,2,3,3,1,14
1,4177443.0,1544605714695,2,3,3,1,14
1,4177445.0,1544605714695,2,1,2,1,14
1,4177447.0,1544605714695,2,1,2,1,15
1,4177449.0,1544605714695,2,1,2,1,15
1,4177451.0,1544605714695,2,1,2,1,15
1,4177453.0,1544605714695,2,1,2,1,15
1,4177455.0,1544605714695,2,1,2,1,15
1,4177457.0,1544605714695,3,3,2,1,4
1,4177459.0,1544605714695,3,3,2,1,5
1,4177461.0,1544605714695,3,3,2,1,5
1,4177463.0,1544605714695,3,3,2,1,5
1,4177465.0,1544605714695,3,3,2,1,6
1,4177467.0,1544605714695,3,3,2,1,6
1,4177469.0,1544605714695,3,3,2,1,6
1,4177471.0,1544605714695,3,3,2,1,6
1,4177473.0,1544605714695,3,3,2,1,6
1,4177475.0,1544605714695,1,3,4,1,21
1,4177476.0,1544605714695,1,3,4,1,21
1,4177477.0,1544605714695,1,3,4,1,21
1,4177479.0,1544605714695,1,3,4,1,22
1,4177481.0,1544605714695,1,3,4,1,22
1,4177483.0,1544605714695,1,3,4,1,22
1,4177484.0,1544605714695,1,3,4,1,22
1,4177485.0,1544605714695,1,3,4,1,22
1,4177487.0,1544605714695,1,3,4,1,22
1,4177489.0,1544605714695,1,3,4,1,23
1,4177491.0,1544605714695,1,3,4,1,23
1,4177493.0,1544605714695,1,3,4,1,23
